Name,Rating
"Bad Genius
(2017)",7.6
"Frances Ha
(2012)",7.4
"Mudbound
(2017)",7.4
"Cyberpunk 2077
(2020 Video Game)",8.3
"The Croods: A New Age
(2020)",6.9
"Hellboy
(2019)",5.3
"Pad Man
(2018)",7.9
"American Gods
(2017–2021)",7.6
"Lock Me Up, Tie Him Down
(2014)",6
"Christopher Robin
(2018)",7.2
"My Life as a Zucchini
(2016)",7.8
"Starred Up
(2013)",7.3
"Chasing Amy
(1997)",7.2
"Arthur Christmas
(2011)",7.1
"The Witcher
(2019– )",8
"Gerald's Game
(2017)",6.5
"Paris Is Burning
(1990)",8.2
"Lawless
(2012)",7.2
"Seeking True Love
(2017)",7.5
"Babe
(1995)",6.9
"Charlie and the Chocolate Factory
(2005)",6.7
"The Look of Silence
(2014)",8.3
"Blue Ruin
(2013)",7.1
"Tremors
(1990)",7.2
"Harold & Kumar Go to White Castle
(2004)",7
"Virus
(I) (2019)",7.7
"I Lost My Body
(2019)",7.5
"The Danish Girl
(2015)",7.1
"Hush
(I) (2016)",6.6
"Drishyam
(2015)",8.2
"A Serious Man
(2009)",7
"Swades
(2004)",8.2
"The Autopsy of Jane Doe
(2016)",6.8
"Doubt
(I) (2008)",7.5
"Neon Genesis Evangelion: The End of Evangelion
(1997)",8.1
"Zindagi Na Milegi Dobara
(2011)",8.2
"Frozen
(I) (2013)",7.4
"Rounders
(1998)",7.3
"Knight Rider 2010
(1994 TV Movie)",2.9
"Miracle
(2004)",7.4
"Shot Caller
(2017)",7.3
"Lupin III: The Castle of Cagliostro
(1979)",7.6
"Eddie Murphy: Delirious
(1983 TV Special)",8.1
"The Game Changers
(2018)",7.8
"Stripes
(1981)",6.8
"War Horse
(2011)",7.2
"Article 15
(2019)",8.1
"Talvar
(2015)",8.1
"Hairspray
(2007)",6.7
"Always Be My Maybe
(2019)",6.8
"The Mask of Zorro
(1998)",6.8
"Bird Box
(2018)",6.6
"Equilibrium
(2002)",7.3
"Mary Poppins Returns
(2018)",6.7
"The Christmas Chronicles
(2018)",7
"On Body and Soul
(2017)",7.5
"The Lord of the Rings: The Two Towers
(2002)",8.8
"True Grit
(1969)",7.4
"The Breadwinner
(2017)",7.7
"The Invitation
(I) (2015)",6.6
"National Treasure
(2004)",6.9
"Bill Burr: Paper Tiger
(2019 TV Special)",8.1
"The Square
(2013)",8
"Ip Man 3
(2015)",7
"The Rainmaker
(1997)",7.2
"The Boy Who Harnessed the Wind
(2019)",7.6
"A Most Violent Year
(2014)",7
"Step Brothers
(2008)",6.9
"The Secret Life of Pets 2
(2019)",6.4
"The Crying Game
(1992)",7.2
"Bad Boy's 10th Anniversary... The Hits
(2004 Video)",6.5
"Before the Flood
(2016)",8.2
"Hannah Gadsby: Nanette
(2018 TV Special)",8.1
"Insidious
(I) (2010)",6.8
"Jim & Andy: The Great Beyond
(2017)",7.6
"Aquarius
(2015–2016)",7
"Hostiles
(2017)",7.2
"Revolutionary Road
(2008)",7.3
"Panic Room
(2002)",6.8
"Howards End
(1992)",7.4
"Winter on Fire: Ukraine's Fight for Freedom
(2015)",8.3
"Patriot Games
(1992)",6.8
"The Fundamentals of Caring
(2016)",7.3
"Public Enemy #2
(1991)",8
"Hitch
(I) (2005)",6.6
"A Ghost Story
(2017)",6.8
"The Natural
(1984)",7.4
"Indiana Jones and the Kingdom of the Crystal Skull
(2008)",6.2
"Special 26
(2013)",8
"The Meyerowitz Stories
(2017)",6.9
"Star Wars Celebration 2017
(2017)",8.2
"Austin Powers: The Spy Who Shagged Me
(1999)",6.6
"In This Corner (and Other Corners) of the World
(2016)",7.8
"Endless Summer
(2018– )",4.8
"20th Century Women
(2016)",7.3
"American Factory
(2019)",7.4
"The Wolf's Call
(2019)",6.9
"Under the Shadow
(2016)",6.8
"Tell Me Who I Am
(2019)",7.6
"Swiss Army Man
(2016)",6.9
"LA 92
(2017)",8.2
"Coach Carter
(2005)",7.3
"Hustle & Flow
(2005)",7.3
"The Guernsey Literary and Potato Peel Pie Society
(2018)",7.3
"The Night Comes for Us
(2018)",6.9
"Get Carter
(1971)",7.3
"The Stranger
(1946)",7.3
"Twenty Feet from Stardom
(2013)",7.4
"Dave Chappelle: Sticks & Stones
(2019 TV Special)",8.3
"The Hundred-Foot Journey
(2014)",7.3
"John Mulaney: Kid Gorgeous at Radio City
(2018 TV Special)",7.9
"The Young Offenders
(2018– )",8
"Spider-Man: Far from Home
(2019)",7.4
"The Matrix Revolutions
(2003)",6.7
"Defiance
(I) (2008)",7.1
"The One I Love
(2014)",7
"Mirage
(2018)",7.4
"6 Underground
(2019)",6.1
"What Happened to Monday
(2017)",6.8
"Julie & Julia
(2009)",7
"Kon-Tiki
(2012)",7.1
"The End of the Tour
(2015)",7.2
"How the Grinch Stole Christmas
(2000)",6.3
"The Fear of 13
(2015)",7.6
"Under the Skin
(I) (2013)",6.3
"Olympus Has Fallen
(2013)",6.5
"Slow West
(2015)",6.9
"Guru Josh Project: Infinity 2008
(2008 Music Video)",6.5
"Defcon 2012
(2010)",1.7
"Stree
(2018)",7.5
"Seven Pounds
(2008)",7.6
"Kilo Two Bravo
(2014)",7.1
"The Perfection
(2018)",6.2
"The Stanford Prison Experiment
(2015)",6.8
"Last Breath
(2019)",7.7
"Private Life
(2018)",7.2
The White Helmets,
"Secret Superstar
(2017)",7.8
"Louis C.K. 2017
(2017 TV Special)",7.6
"My Week with Marilyn
(2011)",6.9
"Terminator 3: Rise of the Machines
(2003)",6.3
"Suburra
(2015)",7.4
"Rush: Beyond the Lighted Stage
(2010)",8.4
"The Pixar Story
(2007)",7.7
"Triple Frontier
(2019)",6.5
"Inequality for All
(2013)",8
"Leap!
(2016)",6.7
"2001: A Space Odyssey
(1968)",8.3
"The Distinguished Citizen
(2016)",7.5
"Oasis: Supersonic
(2016)",7.8
"Yes Man
(2008)",6.8
"Something's Gotta Give
(2003)",6.7
"Hamburger Hill
(1987)",6.7
"Monster House
(2006)",6.6
"The Karate Kid
(1984)",7.3
"It Comes at Night
(2017)",6.2
"Unrest
(I) (2017)",7.5
"The Highwaymen
(2019)",6.9
"For the Love of Spock
(2016)",7.6
"The Grinch
(2018)",6.4
"Paranormal Activity
(2007)",6.3
"John Carter
(2012)",6.6
"Chasing Coral
(2017)",8
"Happy as Lazzaro
(2018)",7.5
"Zack and Miri Make a Porno
(2008)",6.5
"Man Up
(I) (2015)",6.8
"American Honey
(2016)",7
"The American Meme
(2018)",6.1
"Dream Theater: Score - 20th Anniversary World Tour Live with the Octavarium Orchestra
(2006 Video)",9.3
"Scooby-Doo on Zombie Island
(1998 Video)",7.7
"Cunk & Other Humans on 2019
(2019)",7.4
"The Battered Bastards of Baseball
(2014)",8
"Obvious Child
(2014)",6.7
"My Girl
(1991)",6.9
"The Undefeated
(1969)",6.6
"What Happened to Monday
(2017)",6.8
"The Spiderwick Chronicles
(2008)",6.5
"Scream 2
(1997)",6.3
"Team Foxcatcher
(2016)",7.2
"A Twelve-Year Night
(2018)",7.5
"Creep 2
(2017)",6.4
"Paddleton
(2019)",7.2
"Veronica
(I) (2017)",6.2
"April and the Extraordinary World
(2015)",7.2
"Like Water for Chocolate
(1992)",7.1
"Extremely Wicked, Shockingly Evil and Vile
(2019)",6.7
"Adam Sandler: 100% Fresh
(2018 TV Special)",7.5
"La Bamba
(1987)",6.9
"Instructions Not Included
(2013)",7.5
"Bad Boys II
(2003)",6.6
"Child's Play
(1988)",6.7
"Hey Arnold: The Jungle Movie
(2017 TV Movie)",7.4
"The Interview
(II) (2014)",6.5
"Springsteen on Broadway
(2018 TV Movie)",8.5
"21
(2008)",6.8
"Heneral Luna
(2015)",7.2
"Mary and the Witch's Flower
(2017)",6.8
"Bright
(I) (2017)",6.3
"The Seven Five
(2014)",7.6
"Outlaw King
(2018)",6.9
"MTV New Year's Bash 2011
(2010 TV Special)",6
"Cargo
(I) (2017)",6.3
"Turbo
(2013)",6.4
"Calibre
(2018)",6.8
"Echo in the Canyon
(2018)",7
"Tomorrow Never Dies
(1997)",6.5
"The Naked Gun 2½: The Smell of Fear
(1991)",6.9
"WWE: 205 Live
(2016–2022)",6.3
"Final Destination
(2000)",6.7
"Candyman
(2021)",5.9
"Bombshell: The Hedy Lamarr Story
(2017)",7.4
"Muse - Live at Rome Olympic Stadium
(2013)",8.8
"Water and Sugar
(2016)",7.2
"Cuba and the Cameraman
(2017)",8.2
"Blue Jay
(I) (2016)",7.3
"The Promise
(II) (2016)",6.1
"Black Snake Moan
(2006)",6.9
"Soul Boys of the Western World
(2014)",6.9
"Kill the Messenger
(2014)",6.9
"Richard Pryor: Live in Concert
(1979)",8
"Sour Grapes
(1998)",5.7
"First They Killed My Father
(2017)",7.2
"Beavis and Butt-Head Do America
(1996)",6.8
"Being Elmo: A Puppeteer's Journey
(2011)",7.6
"Udta Punjab
(2016)",7.7
"Betting on Zero
(2016)",7.2
"Remember the Titans
(2000)",7.8
"The British and Irish Lions Tour to Australia 2013
(2013 Video)",8.6
"1922
(2017)",6.2
"Men in Black: International
(2019)",5.6
"The Duchess
(2008)",6.9
"Even the Rain
(2010)",7.4
"Teenage Mutant Ninja Turtles
(1990)",6.8
"Clouds of Sils Maria
(2014)",6.7
"Spectral
(2016)",6.3
"The Devil We Know
(2018)",7.8
"Becoming Jane
(2007)",7
"The Cakemaker
(2017)",7.3
"The Great Battle
(2018)",7
"Suffragette
(2015)",6.9
"The Imaginarium of Doctor Parnassus
(2009)",6.8
"Kingpin
(1996)",6.9
"Super Dark Times
(2017)",6.6
"The Ritual
(I) (2017)",6.3
"Good Girls
(2018–2021)",7.7
"P.S. I Love You
(2007)",7
"She's Out of My League
(2010)",6.4
"Madea's Big Happy Family
(2011)",4.8
"Dear Ex
(2018)",7.3
"Terminator Salvation
(2009)",6.5
"Master Z: The Ip Man Legacy
(2018)",6.5
"Chitty Chitty Bang Bang
(1968)",6.9
"Williams
(2017)",7.6
"Junebug
(2005)",6.9
"Jodhaa Akbar
(2008)",7.5
"The 24 Hour War
(2016)",7.2
"Austin Powers in Goldmember
(2002)",6.2
"Bobby Robson: More Than a Manager
(2018)",8.1
"Next Gen
(I) (2018)",6.6
"The World Is Not Enough
(1999)",6.4
"Salting the Battlefield
(2014 TV Movie)",6.6
"Get Me Roger Stone
(2017)",7.3
"The Sky Is Pink
(2019)",7.6
"The Babysitter
(I) (2017)",6.3
"Holding the Man
(2015)",7.4
"The Bounty Hunter
(I) (2010)",5.5
"Tallulah
(2016)",6.7
"Handsome Devil
(2016)",7
"Nowhere Boy
(2009)",7.1
"Click
(2006)",6.4
"Kursk
(2012)",6.3
"Us and Them
(2018)",7.4
"Delhi Belly
(2011)",7.6
"Die Another Day
(2002)",6.1
"Rachel Getting Married
(2008)",6.7
"Peter Rabbit
(2018)",6.6
"Tyson
(2008)",7.4
"Spy Kids
(2001)",5.6
"Ai Weiwei: Never Sorry
(2012)",7.5
"Hold the Dark
(2018)",5.6
"Only the Dead
(2015)",7.6
"Bleach
(2018)",6.3
"Fractured
(I) (2019)",6.5
"A separation: a conversation with Asghar Farhadi and Babak Karimi
(2011 Video)",5
"Christine
(2016)",6.9
"Gringo: The Dangerous Life of John McAfee
(2016)",6.7
"The Dirt
(2019)",7
"Mune: Guardian of the Moon
(2014)",7.1
"Other People
(I) (2016)",6.8
"Suite Française
(2014)",7
"Ugly
(2013)",7.9
"Event Horizon
(1997)",6.6
"Seeking True Love
(2017)",7.5
"The Last Man on the Moon
(2014)",7.4
"Scary Movie
(2000)",6.3
"Traitor
(2008)",6.9
"Alex Strangelove
(2018)",6.3
"My Father and My Son
(2005)",8.2
"The Siege of Jadotville
(2016)",7.2
"The Forbidden Kingdom
(2008)",6.5
"Trouble in Paradise
(1932)",7.9
"Kill the Irishman
(2011)",7
"The Water Diviner
(2014)",7
"Filmworker
(2017)",7.4
"Princess Cyd
(2017)",6.7
"While We Live
(2017)",6.7
"Retribution
(2015)",6.6
"The Grandmaster
(2013)",6.6
"Gaga: Five Foot Two
(2017)",7
"Shirkers
(2018)",7.3
"Cam
(2018)",5.9
"Young Adult
(2011)",6.3
"Ice Guardians
(2016)",7.4
"Charlie's Angels
(2000)",5.6
"Anger Management
(2003)",6.2
"Hotel Transylvania 3: Summer Vacation
(2018)",6.3
"Spitfire
(III) (2018)",7.5
"The Longest Yard
(2005)",6.4
"The Exception
(2016)",6.8
"The Sapphires
(2012)",7
"Oceans
(2009)",7.7
"9½ Weeks
(1986)",5.9
"The Craft
(1996)",6.4
"Mississippi Grind
(2015)",6.4
"Mansfield Park
(1999)",7
"Camp X-Ray
(2014)",6.9
"The Pirate Fairy
(2014 Video)",6.6
"Burlesque
(I) (2010)",6.4
"Om Shanti Om
(2007)",6.8
"Behind the Curve
(2018)",6.5
"The Waterboy
(1998)",6.1
"Black Sea 213
(2000)",3.2
"Forks Over Knives
(2011)",7.7
"You
(2018–2024)",7.7
"Final Destination 2
(2003)",6.2
"The Accountant of Auschwitz
(2018)",7.3
"Little Men
(2016)",6.7
"He Never Died
(2015)",6.3
"How to Change the World
(2015)",7.5
"DragonHeart
(1996)",6.4
"Bathtubs Over Broadway
(2018)",7.6
"Hot Rod
(2007)",6.7
"Beasts of No Nation
(2015)",7.7
"Kai Po Che
(2013)",7.8
"Ittefaq
(2017)",7.2
"Chappaquiddick
(2017)",6.4
"5 to 7
(2014)",7.1
"Personal Shopper
(2016)",6.1
"Badla
(2019)",7.7
"Comic Relief: Red Nose Day 2013
(2013 TV Movie)",5.6
"Kevin Hart: Laugh at My Pain
(2011)",7.3
"What Lies Beneath
(2000)",6.6
"Bee Movie
(2007)",6.1
"The Informant!
(2009)",6.5
"The Gift
(2000)",6.7
"Tinker Bell and the Legend of the NeverBeast
(2014 Video)",7.1
"The Kindergarten Teacher
(2018)",6.7
"One of Us
(IV) (2017)",7
"A Wednesday
(2008)",8.1
"Wheelman
(2017)",6.4
"Sleeping with Other People
(2015)",6.5
"The Taking of Pelham 123
(2009)",6.4
"Charlotte's Web
(1973)",6.9
"Quincy
(2018)",7.6
"Cutie and the Boxer
(2013)",7.2
"Neruda
(2016)",6.8
"Backcountry
(I) (2014)",6
"You Are My Sunday
(2016)",7.7
"Megami no sugao Kyoka 2
(2008 Video)",0
"Elena Knyazeva: Ulitci
(2013 Music Video)",0
"The Salvation
(2014)",6.7
"Our Idiot Brother
(2011)",6.4
"Free Fire
(2017 Video Game)",4.7
"K-19: The Widowmaker
(2002)",6.7
"Dance Academy: The Movie
(2017)",6.8
"The Knight Before Christmas
(2019)",5.6
"Blame
(I) (2017)",5.8
"Sweet Virginia
(2017)",6.2
"Taylor Swift: The 1989 World Tour Live
(2015 Video)",8.8
"Red Dawn
(1984)",6.3
"The Wandering Earth
(2019)",5.9
"Michelle Wolf: Joke Show
(2019 TV Special)",7.3
"Screwball
(2018)",7.1
"Legend of the Guardians: The Owls of Ga'Hoole
(2010)",6.9
"We the Animals
(2018)",6.9
"Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life
(2018 TV Special)",7.1
"Mowgli: Legend of the Jungle
(2018)",6.5
"Band Aid
(2017)",6.6
"Small Town Crime
(2017)",6.6
"Time Trap
(2017)",6.2
"Silicon Cowboys
(2016)",6.9
"The World Is Yours
(2018)",6.3
"White Fang
(2018)",6.9
"Trash
(I) (2014)",7.1
"The Original Kings of Comedy
(2000)",6.8
"Studio 54
(2018)",7
"My Scientology Movie
(2015)",6.6
"Rocko's Modern Life: Static Cling
(2019 TV Movie)",6.9
"Ludacris Feat. Mystikal & I-20: Move Bitch
(2002 Music Video)",5.5
"Sanju
(2018)",7.6
"Dear Zindagi
(2016)",7.4
"The Bill Murray Stories: Life Lessons Learned from a Mythical Man
(2018)",7.1
"The Photographer of Mauthausen
(2018)",6.7
"Stonehearst Asylum
(2014)",6.8
"In the Shadow of the Moon
(2019)",6.2
"BuyBust
(2018)",5.7
"I Called Him Morgan
(2016)",7.3
"King Jack
(2015)",6.9
"Raees
(2017)",6.7
"The Princess Switch
(2018)",6.1
"The First Wives Club
(1996)",6.4
"Berlin Syndrome
(2017)",6.3
"Errementari
(2017)",6.4
"Stuart Little
(1999)",6
"John Leguizamo's Latin History for Morons
(2018)",7.4
"Dukhtar
(2014)",6.9
"Strong Island
(2017)",6.4
"Haunters: The Art of the Scare
(2017)",6.5
"Smoke & Mirrors
(II)",
"Kate & Leopold
(2001)",6.4
"A Decent Woman
(2016)",5.8
"Parmanu: The Story of Pokhran
(2018)",7.6
"Free Willy
(1993)",6
"Bon Cop Bad Cop
(2006)",6.7
"The Jane Austen Book Club
(2007)",6.7
"From Paris with Love
(2010)",6.4
"Cop Car
(2015)",6.3
"Yonimo kimyô na monogatari: 2019 Rain Special
(2019 TV Movie)",4.6
"Woodstock: Three Days That Defined a Generation
(2019)",7.6
"Unhappily Ever After
(1995–1999)",6.9
"Dumplin'
(2018)",6.5
"Murder Mystery
(2019)",6
"Revolutionary Road
(2008)",7.3
"Kicking and Screaming
(1995)",6.7
"Between Two Ferns: The Movie
(2019)",6.1
"The Confirmation
(2016)",6.4
"An Unfinished Life
(2005)",7
"Kills On Wheels
(2016)",7.1
"World Trade Center
(2006)",6
"A Christmas Prince: The Royal Baby
(2019)",5.4
"The Invention of Lying
(2009)",6.4
"Tramps
(2016)",6.5
"The Company Men
(2010)",6.7
"Sweetheart
(I) (2019)",5.8
"Petta
(2019)",7.1
"Melvin Goes to Dinner
(2003)",6.7
"Patton Oswalt: Annihilation
(2017 TV Special)",7.3
"Imperial Dreams
(2014)",6.7
"Mission Control: The Unsung Heroes of Apollo
(2017)",7.5
"Miss Hokusai
(2015)",6.7
"OMG: Oh My God!
(2012)",8.1
"The Congress
(2013)",6.4
"Center Stage
(2000)",6.7
"Justin Timberlake + the Tennessee Kids
(2016)",7.6
"Yo ni mo Kimyô na Monogatari Spring 2015
(2015 TV Movie)",6.5
"Prosecuting Evil
(2018)",7.7
"Harold and Lillian: A Hollywood Love Story
(2015)",7.9
"What We Started
(2017)",7
"My Masterpiece
(2018)",7.1
"Big Miracle
(2012)",6.5
"Laggies
(2014)",6.4
"Kaabil
(2017)",7.1
"The Kissing Booth
(2018)",5.9
"I Remember You
(2017)",6.1
"Seeing Allred
(2018)",7.3
"Bad Day for the Cut
(2017)",6.5
"Miss Stevens
(2016)",6.5
"The Ugly Truth
(2009)",6.4
"Learning to Live: Behind-the-Scenes of Then Came You
(2019 Video)",0
"Vantage Point
(2008)",6.6
"Wyatt Earp
(1994)",6.7
"Paid in Full
(2002)",7
"The Incident
(2014)",6.3
"Heartbreakers
(2001)",6.2
"The Rover
(2014)",6.4
"Layla M.
(2016)",6.6
"When We First Met
(2018)",6.4
"The Mountain Between Us
(2017)",6.4
"The Legend of 420
(2017)",6.7
"Tamasha
(2015)",7.3
"The Red Sea Diving Resort
(2019)",6.6
"The Iron Lady
(2011)",6.4
"Kiss the Girls
(1997)",6.6
"A Futile and Stupid Gesture
(2018)",6.7
"The Divine Fury
(2019)",6.3
"The Other Side of the Wind
(2018)",6.7
"The Garden of Words
(2013)",7.4
"The Forest of Love
(2019)",6.3
"I am Jane Doe
(2017)",6.8
"Love
(II) (2015)",6.1
"The Eyes of My Mother
(2016)",6.2
"Fire at Sea
(2016)",6.7
"Advantageous
(2015)",6.1
"Get Santa
(2014)",6.3
"Audrie & Daisy
(2016)",7.2
"John Mulaney & the Sack Lunch Bunch
(2019 TV Movie)",7.3
"The Signal
(2014)",6
"To Wong Foo, Thanks for Everything! Julie Newmar
(1995)",6.7
"Self/less
(2015)",6.5
"Girl
(II) (2018)",7.2
"The Outsider
(I) (2018)",6.2
"Jersey Boys
(2014)",6.8
"Just Another Love Story
(2007)",7.2
"Gook
(2017)",7
"The Case for Christ
(2017)",6.3
"Walking Out
(2017)",5.8
"Transcendence
(I) (2014)",6.2
"Murder Party
(2007)",5.8
"The Men Who Stare at Goats
(2009)",6.2
"Kahaani
(2012)",8.1
"Dil Dhadakne Do
(2015)",7
"Kevin Hart: Let Me Explain
(2013)",6.7
"The Aerial
(2007)",7.3
"Son of a Gun
(2014)",6.4
"Mr. Church
(2016)",7.6
"Final Destination
(2000)",6.7
"Spring Breakers
(2012)",5.3
"The C Word
(2016)",7.5
"Magnus
(2016)",7.1
"You Were Never Really Here
(2017)",6.7
"The Bachelorette
(2003– )",3.5
"Teenage Cocktail
(2016)",5.8
"Goldstone
(2016)",6.6
"Holy Hell
(2016)",7
"The Pirates of Somalia
(2017)",6.7
"Dil Chahta Hai
(2001)",8.1
"Krampus
(I) (2015)",6.2
"Joan Didion: The Center Will Not Hold
(2017)",7.4
"Cannes Film Festival 2019
(2019)",0
"Kodachrome
(2017)",6.8
"Small Soldiers
(1998)",6.3
"Good Kill
(2014)",6.4
"Kickboxer: Retaliation
(2018)",5
"13 Sins
(2014)",6.3
"March of the Wooden Soldiers
(1934)",7.1
"Breathe
(I) (2017)",7.1
"Cowspiracy: The Sustainability Secret
(2014)",8.1
"Louis C.K.: Hilarious
(2010 TV Special)",8.3
"The Unknown Known
(2013)",7
"Wish I Was Here
(2014)",6.6
"Barbie Video Game Hero
(2017 Video)",5
"Mary Kom
(2014)",6.8
"The Sunshine Makers
(2015)",7
"Rainbow Six: Siege
(2015 Video Game)",7.8
"The Grass Is Greener
(1960)",6.5
"The Blackcoat's Daughter
(I) (2015)",5.9
"Sorry Angel
(2018)",6.8
"Khosla Ka Ghosla!
(2006)",8.2
"Fyre
(2019)",7.2
"Peepli [Live]
(2010)",7.4
"Cloak & Dagger
(2018–2019)",6.6
"Chloe
(2009)",6.3
"Raiders!: The Story of the Greatest Fan Film Ever Made
(2015)",6.9
"Guzaarish
(2010)",7.4
"The Rookie
(2018– )",8
"Mr. Roosevelt
(2017)",6.2
"Boys in the Trees
(2016)",6.3
"Flavors of Youth
(2018)",6.6
"ARQ
(2016)",6.3
"Newtown
(2016)",6.9
"The Great Hack
(2019)",7
"Madaari
(2016)",7.6
"Monster-in-Law
(2005)",5.6
"Harry & Snowman
(2015)",7.6
"Voyeur
(II) (2017)",6.1
"Michael Bolton's Big, Sexy Valentine's Day Special
(2017 TV Special)",6.7
"I Am Bolt
(2016)",7.1
"Stuart Little 2
(2002)",5.5
"God Knows Where I Am
(2016)",7.3
"Along Came a Spider
(2001)",6.4
"Agent 2000: Die Laksman
(2014)",5.1
"Operation Red Sea
(2018)",6.6
"Velvet Buzzsaw
(2019)",5.7
"Chicken Little
(2005)",5.7
"Palio
(2015)",7.3
